Team Number,Event Date,Event Name,Event ID,Award
12Z,2025-11-15,7th Annual All Saints VEX V5 Robotics Competition Tournament,60494,Innovate Award (VRC/VEXU/VAIRC)
12Z,2026-01-17,Potomac School Winter Classic VEX V5 Robotics Competition: (Blended MS/HS),60443,Excellence Award (VRC/VEXU/VAIRC)
12Z,2026-02-07,1x Robotics Presents: Meta Broken at PWC Fairgrounds: VEX V5 Competition 2025-2026: Push Back - High School Qualifier,60759,Design Award (VRC/VEXU/VAIRC)
12Z,2026-02-15,Prowl at the Potomac: VEX V5 Robotics Competition HS Tournament,59937,Excellence Award (VRC/VEXU/VAIRC)
12Z,2026-02-15,Prowl at the Potomac: VEX V5 Robotics Competition HS Tournament,59937,Tournament Champions (VRC/VEXU/VAIRC)
12Z,2026-02-28,[NEW LOCATION] 2026 OWL Firehouse Classic V5RC (Blended MS/HS): @ Beville Middle School,61425,Tournament Champions (VRC/VEXU/VAIRC)
12Z,2026-02-28,[NEW LOCATION] 2026 OWL Firehouse Classic V5RC (Blended MS/HS): @ Beville Middle School,61425,Excellence Award (VRC/VEXU/VAIRC)
12Z,2026-03-14,2026 Virginia VEX V5 Robotics Competition State Championship (HS),62982,Excellence Award (VRC/VEXU/VAIRC)
12Z,2026-03-14,2026 Virginia VEX V5 Robotics Competition State Championship (HS),62982,Tournament Champions (VRC/VEXU/VAIRC)
81Z,2025-10-25,Firebird V5RC Push Back Qualifier: VEX V5 Robotics Competition Push Back,61836,Innovate Award (VRC/VEXU/VAIRC)
81Z,2025-12-13,Vexmen Showdown Qualifier - High School: VEX V5 Robotics Competition Push Back,62837,Innovate Award (VRC/VEXU/VAIRC)
81Z,2026-01-24,New Hope-Solebury Robotics Qualifying Tournament (High School): VEX V5 Robotics Competition Push Back,60129,Tournament Champions (VRC/VEXU/VAIRC)
81Z,2026-02-07,VEX Push Back at Spring-Ford: VEX V5 Robotics Competition Push Back,60047,Tournament Semifinalists (VRC/VEXU/VAIRC)
